d54b	_LD54B
d551	_BD551
d559	_BD559
d560	_BD560
d56f	_BD56F
d574	_LD574
d579	_BD579
d580	_BD580
d583	_BD583
d58e	_BD58E
d592	_LD592
d5a5	_BD5A5
d5ac	_LD5AC
d5b6	_BD5B6
d5bd	_BD5BD
d5ce	_OSWORD_13
d5d5	_LD5D5
d5e0	_BD5E0
d5ea	_LD5EA
d632	_LD632
d636	_LD636
d647	_OSBYTE_134
d657	_BD657
d658	_LD658
d688	_BD688
d69f	_BD69F
d6a2	_LD6A2
d6a6	_VDU_G_CLR_LINE
d6bc	_BD6BC
d6da	_BD6DA
d6e9	_BD6E9
d6fe	_BD6FE
d70e	_LD70E
d719	_BD719
d72a	_BD72A
d73b	_BD73B
d73e	_BD73E
d744	_BD744
d74d	_BD74D
d753	_BD753
d75c	_BD75C
d76e	_BD76E
d774	_LD774
d77c	_BD77C
d791	_BD791
d7a1	_BD7A1
d7a9	_BD7A9
d7ac	_LD7AC
d7c1	_BD7C1
d7c2	_OSBYTE_135
d7cb	_BD7CB
d7d4	_BD7D4
d7d7	_BD7D7
d7dc	_BD7DC
d7e1	_BD7E1
d7e8	_BD7E8
d7ea	_BD7EA
d7f9	_BD7F9
d808	_LD808
d80a	_BD80A
d810	_BD810
d81b	_BD81B
d820	_BD820
d82e	_BD82E
d839	_LD839
d847	_BD847
d851	_BD851
d85a	_BD85A
d85c	_BD85C
d85d	_LD85D
d85f	_LD85F
d864	_LD864
d884	_BD884
d8b2	_BD8B2
d8b5	_BD8B5
d8c6	_BD8C6
d8cb	_BD8CB
d8ce	_LD8CE
d8f5	_BD8F5
d905	_LD905
d916	_BD916
d917	_BD917
d918	_LD918
d923	_OSBYTE_132
d926	_OSBYTE_133
d93e	_BD93E
d940	_VECTOR_TABLE
d9b7	_BD9B7
d9cd	_RESET_HANDLER
d9e7	_RESET_MEMCLR
d9ee	__reset_memclr_loop
d9fd	__reset_memclr_done
da03	__reset_setup_sys_via
da08	_RESET_LATCH
da11	__reset_keyread_loop
da36	_BDA36
da42	_BDA42
da44	_BDA44
da4a	_BDA4A
da56	_BDA56
da5b	_BDA5B
da6b	_RESET_VIAS
da6e	__reset_vias_loop
da80	__reset_vias_setirqs
daa2	_BDAA2
dabd	_BDABD
dac5	_BDAC5
dad5	_BDAD5
dae3	_BDAE3
dafb	_BDAFB
daff	_BDAFF
db0c	_BDB0C
db19	_BDB19
db27	_BDB27
db4d	_BDB4D
db7f	_BDB7F
db82	_BDB82
db87	_BDB87
dbb8	_LDBB8
dbbe	_BDBBE
dbc8	_BDBC8
dbca	_BDBCA
dbe6	_BDBE6
dbe7	_OSBYTE_142
dc08	_START_TUBE
dc0b	_OSRDRM
dc16	_LDC16
dc1c	_IRQ_HANDLER
dc27	_BRK
dc54	_BRKV
dc5d	_HCF
dc68	_BDC68
dc78	_BDC78
dc7a	_BDC7A
dc7d	_BDC7D
dc92	_BDC92
dc93	_IRQ1V
dca2	_POLL_ACIA_IRQ
dca9	__irq_acia
dcb3	_BDCB3
dcb8	_BDCB8
dcbf	_BDCBF
dcd6	_BDCD6
dcdd	_BDCDD
dcde	_BDCDE
dceb	_BDCEB
dcf3	_IRQ_UNKNOWN
dd06	_POLL_SYS_VIA_IRQ
dd11	_POLL_FRAME_SYNC_IRQ
dd1e	_BDD1E
dd34	_BDD34
dd3d	_BDD3D
dd47	_POLL_USER_VIA_IRQ
dd69	_POLL_TIMER2_IRQ
dd79	_LDD79
dd7d	_BDD7D
dd8d	_BDD8D
ddab	_BDDAB
ddb2	_BDDB2
ddb8	_BDDB8
ddbb	_BDDBB
ddc9	_BDDC9
ddca	_POLL_TIMER_IRQ
ddd9	_BDDD9
dde7	_BDDE7
dded	_BDDED
ddfa	_BDDFA
de07	_BDE07
de0a	_BDE0A
de1a	_BDE1A
de2b	_BDE2B
de3e	_BDE3E
de47	_POLL_ADC_IRQ
de4a	_BDE4A
de69	_BDE69
de6c	_BDE6C
de6e	_LDE6E
de72	_BDE72
de7f	_BDE7F
de89	_IRQ2V
de8c	_OSBYTE_17
de8f	_LDE8F
de95	_BDE95
dea9	_PRINT_PAGEC3_STRING
deab	_PRINT_PAGE_STRING
deb1	_LDEB1
debb	_LDEBB
dec5	_NVRDCH
dec7	_BDEC7
dee6	_BDEE6
df00	_BDF00
df03	_BDF03
df05	_BDF05
df0c	_MSG_COPYSYM
df10	_OSCLI_TABLE
df89	_CLIV
df94	__cliv_not_newline
df9e	_BDF9E
dfa0	_BDFA0
dfbe	__cliv_not_slash
dfc4	_BDFC4
dfcd	_BDFCD
dfd7	_BDFD7
dfe2	_BDFE2
dfe6	_BDFE6
dfe8	_BDFE8
dff2	_BDFF2
dff4	_BDFF4
e004	_LE004
e009	_LE009
e00d	_GET_TEXT_PTR
e017	__get_text_ptr_done
e018	_OSCLI_BASIC
e021	__nobasic
e031	_OSCLI_FSCV
e034	_OSBYTE_139
e035	_OSBYTE_127
e039	_SKIP_SPACES_NXT
e03a	_SKIP_SPACE
e040	__compare_newline
e043	_LE043
